form	pos	lemma
netelen	VRB(finiteness=fin,tense=pres)	netelen
ende	CONJ(type=coor)	en
distelen	NOU-C(number=pl)	distel
plucken	VRB(finiteness=inf)	plukken
gaen	VRB(finiteness=inf)	gaan
$	PC	None
Ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
goede	AA(degree=pos,position=prenom)	goed
vrucht	NOU-C(number=sg)	vrucht
laten	VRB(finiteness=inf)	laten
staen	VRB(finiteness=inf)	staan
$	PC	None
Die	PD(type=d-p,position=free)	die
goet	AA(degree=pos,position=free)	goed
sijn	VRB(finiteness=fin,tense=pres)	zijn
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
smake	NOU-C(number=sg)	smaak
soete	AA(degree=pos,position=free)	zoet
$	PC	None
Ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
evelen	NOU-C(number=sg)	evelen
geven	VRB(finiteness=inf)	geven
boete	NOU-C(number=sg)	boete
$	PC	None
Aldus	ADV(type=reg)	aldus
eest	VRB(finiteness=fin,tense=pres)+PD(type=pers,position=free)	zijn+het
ende	CONJ(type=coor)	en
anders	ADV(type=reg)	anders
niet	ADV(type=reg)	niet
$	PC	None
Die	PD(type=d-p,position=free)	die
de	PD(type=d-p,subtype=art,position=prenom)	de
dinc	NOU-C(number=sg)	ding
te	ADP(type=pre)	te
rechte	NOU-C(number=sg)	rechte
besiet	VRB(finiteness=fin,tense=pres)	bezien
$	PC	None
Die	PD(type=d-p,position=free)	die
den	PD(type=d-p,subtype=art,position=prenom)	de
tijt	NOU-C(number=sg)	tijd
onledich	AA(degree=pos,position=free)	onledig
maken	VRB(finiteness=fin,tense=pres)	maken
$	PC	None
Met	ADP(type=pre)	met
onoerboerliken	AA(degree=pos,position=prenom)	onoorbaarlijk
saken	NOU-C(number=pl)	zaak
$	PC	None
My	PD(type=pers,position=free)	ik
dunct	VRB(finiteness=fin,tense=pres)	dunken
dat	CONJ(type=sub)	dat
sy	PD(type=pers,position=free)	zij
zere	ADV(type=reg)	zeer
riesen	VRB(finiteness=fin,tense=pres)	riezen
$	PC	None
Want	CONJ(type=sub)	want
sy	PD(type=pers,position=free)	zij
den	PD(type=d-p,subtype=art,position=prenom)	de
tyt	NOU-C(number=sg)	tijd
verliesen	VRB(finiteness=fin,tense=pres)	verliezen
$	PC	None
Die	PD(type=d-p,position=free)	die
nemmermeer	ADV(type=reg)	nimmermeer
no	CONJ(type=coor)	noch
wijf	NOU-C(number=sg)	wijf
no	CONJ(type=coor)	noch
man	NOU-C(number=sg)	man
$	PC	None
Daer	ADV(type=pron)	daar
na	ADV(type=pron)	na
weder	ADV(type=reg)	weder
verhalen	VRB(finiteness=inf)	verhalen
en	ADV(type=reg)	ne
can	VRB(finiteness=fin,tense=pres)	kunnen
$	PC	None
Want	CONJ(type=coor)	want
die	PD(type=d-p,subtype=art,position=prenom)	die
tijt	NOU-C(number=sg)	tijd
es	VRB(finiteness=fin,tense=pres)	zijn
ons	PD(type=pers,position=free)	ons
ghegeuen	VRB(finiteness=pastpart)	geven
$	PC	None
Omme	CONJ(type=sub)	om
dat	CONJ(type=sub)	dat
wy	PD(type=pers,position=free)	wij
in	ADP(type=pre)	in
dit	PD(type=d-p,subtype=oth,position=prenom)	dit
leven	NOU-C(number=sg)	leven
$	PC	None
Dat	PD(type=d-p,position=free)	dat
overlijt	NOU-C(number=sg)	overlijd
soe	ADV(type=reg)	zo
cortelike	ADV(type=reg)	kortelijk
$	PC	None
Verdienen	VRB(finiteness=inf)	verdienen
souden	VRB(finiteness=fin,tense=past)	zullen
hemelrike	NOU-C(number=sg)	hemelrijk
$	PC	None
Ende	CONJ(type=coor)	en
die	PD(type=d-p,subtype=art,position=prenom)	die
hier	ADV(type=reg)	hier
luttel	PD(type=indef,subtype=oth,position=prenom)	luttel
sayen	VRB(finiteness=inf)	zaaien
$	PC	None
Selen	VRB(finiteness=fin,tense=pres)	zullen
ginder	ADV(type=reg)	ginder
luttel	PD(type=indef,position=free)	luttel
mayen	VRB(finiteness=inf)	maaien
$	PC	None
Daer	ADV(type=pron)	daar
omme	ADV(type=pron)	om
behoren	VRB(finiteness=fin,tense=pres)	behoren
sy	PD(type=pers,position=free)	zij
ten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ten
vroeden	NOU-C(number=sg)	vroed
$	PC	None
Die	PD(type=d-p,position=free)	die
ghene	PD(type=d-p,position=free)	gene
die	PD(type=d-p,position=free)	die
hem	PD(type=refl,position=free)	hij
hier	ADV(type=reg)	hier
soe	ADV(type=reg)	zo
spoeden	VRB(finiteness=fin,tense=pres)	spoeden
$	PC	None
Te	ADP(type=pre)	te
sayene	NOU-P	Sayene
dat	PD(type=d-p,subtype=art,position=prenom)	dat
goede	AA(degree=pos,position=prenom)	goed
sait	NOU-C(number=sg)	zaad
$	PC	None
Daer	ADV(type=pron)	daar
men	PD(type=pers,position=free)	men
ginder	ADV(type=reg)	ginder
af	ADV(type=pron)	af
ontfaet	VRB(finiteness=fin,tense=pres)	ontvangen
$	PC	None
Hondertfout	NOU-C(number=sg)	honderdfout
van	ADP(type=pre)	van
lone	NOU-C(number=sg)	loon
$	PC	None
Te	ADP(type=pre)	te
Antwerpen	NOU-P	Antwerpen
daer	ADV(type=reg)	daar
ic	PD(type=pers,position=free)	ik
wone	VRB(finiteness=fin,tense=pres)	wonen
$	PC	None
Soe	ADV(type=reg)	zo
quam	VRB(finiteness=fin,tense=past)	komen
my	PD(type=pers,position=free)	ik
een	PD(type=indef,subtype=art,position=prenom)	een
boec	NOU-C(number=sg)	boek
ter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ter
hant	NOU-C(number=sg)	hand
$	PC	None
Daer	ADV(type=pron)	daar
ic	PD(type=pers,position=free)	ik
in	ADV(type=pron)	in
bescreven	VRB(finiteness=pastpart)	beschrijven
vant	VRB(finiteness=fin,tense=past)	vinden
$	PC	None
Vele	PD(type=indef,subtype=oth,position=prenom)	veel
duechden	NOU-C(number=pl)	deugd
ende	CONJ(type=coor)	en
wijsheden	NOU-C(number=pl)	wijsheid
$	PC	None
Ende	CONJ(type=coor)	en
leringe	NOU-C(number=sg)	lering
van	ADP(type=pre)	van
goeden	AA(degree=pos,position=prenom)	goed
seden	NOU-C(number=pl)	zede
$	PC	None
Ende	CONJ(type=coor)	en
hoe	ADV(type=reg)	hoe
die	PD(type=d-p,subtype=art,position=prenom)	die
mensce	NOU-C(number=sg)	mens
soude	VRB(finiteness=fin,tense=past)	zullen
leven	VRB(finiteness=inf)	leven
$	PC	None
Dit	PD(type=d-p,subtype=oth,position=prenom)	dit
boec	NOU-C(number=sg)	boek
was	VRB(finiteness=fin,tense=past)	zijn
in	ADP(type=pre)	in
Walsche	AA(degree=pos,position=prenom)	Waals
bescreven	VRB(finiteness=pastpart)	beschrijven
$	PC	None
Sonder	ADP(type=pre)	zonder
rime	NOU-C(number=sg)	rijm
in	ADP(type=pre)	in
slechte	AA(degree=pos,position=prenom)	slecht
woert	NOU-C(number=sg)	woord
$	PC	None
Doen	ADV(type=reg)	toen
werdic	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	worden+ik
daer	ADV(type=pron)	daar
toe	ADV(type=pron)	toe
becoert	VRB(finiteness=pastpart)	bekoren
$	PC	None
Dat	CONJ(type=sub)	dat
ic	PD(type=pers,position=free)	ik
dit	PD(type=d-p,position=free)	dit
boec	NOU-C(number=sg)	boek
woude	VRB(finiteness=fin,tense=past)	willen
maken	VRB(finiteness=inf)	maken
$	PC	None
Uten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uit+dat
Walsche	NOU-C(number=sg)	Waals
in	ADP(type=pre)	in
Dietsche	AA(degree=pos,position=prenom)	Diets
spraken	NOU-C(number=sg)	spraak
$	PC	None
Sonder	ADP(type=pre)	zonder
rime	NOU-C(number=sg)	rijm
alsoe	CONJ(type=sub)	alzo
ic	PD(type=pers,position=free)	ik
sach	VRB(finiteness=fin,tense=past)	zien
$	PC	None
Dat	CONJ(type=sub)	dat
hy	PD(type=pers,position=free)	hij
inden	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+de
Walsce	NOU-C(number=sg)	wals
lach	VRB(finiteness=fin,tense=past)	lachen
$	PC	None
Omme	CONJ(type=sub)	om
dat	CONJ(type=sub)	dat
ic	PD(type=pers,position=free)	ik
van	ADP(type=pre)	van
dier	PD(type=d-p,subtype=oth,position=prenom)	die
edelre	AA(degree=pos,position=prenom)	edel
leren	NOU-C(number=sg)	leer
$	PC	None
Een	PD(type=indef,subtype=art,position=prenom)	een
woert	NOU-C(number=sg)	woord
niet	ADV(type=reg)	niet
woude	VRB(finiteness=fin,tense=past)	willen
anders	ADV(type=reg)	anders
keren	VRB(finiteness=inf)	keren
$	PC	None
Dant	CONJ(type=sub)+PD(type=pers,position=free)	dan+het
die	PD(type=d-p,subtype=art,position=prenom)	die
edele	AA(degree=pos,position=prenom)	edel
wise	AA(degree=pos,position=prenom)	wijs
clerc	NOU-C(number=sg)	klerk
$	PC	None
Selve	PD(type=d-p,position=free)	zelf
dichte	VRB(finiteness=fin,tense=past)	dichten
in	ADP(type=pre)	in
sijn	PD(type=poss,position=prenom)	zijn
werc	NOU-C(number=sg)	werk
$	PC	None
Want	CONJ(type=coor)	want
rime	NOU-C(number=sg)	rijm
alsoe	ADV(type=reg)	alzo
wijt	PD(type=pers,position=free)+PD(type=pers,position=free)	wij+het
vinden	VRB(finiteness=inf)	vinden
$	PC	None
Doet	VRB(finiteness=fin,tense=pres)	doen
dicke	ADV(type=reg)	dik
die	PD(type=d-p,subtype=art,position=prenom)	die
materie	NOU-C(number=sg)	materie
winden	VRB(finiteness=inf)	winden
$	PC	None
Anders	ADV(type=reg)	anders
danse	NOU-C(number=sg)	dans
die	PD(type=d-p,subtype=art,position=prenom)	die
makere	NOU-C(number=sg)	maker
seide	VRB(finiteness=fin,tense=past)	zeggen
$	PC	None
Ende	CONJ(type=coor)	en
ierstwerven	ADV(type=reg)	eerstwerf
int	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+het
scrift	NOU-C(number=sg)	schrift
leide	VRB(finiteness=fin,tense=past)	leiden
$	PC	None
Die	PD(type=d-p,position=free)	die
de	PD(type=d-p,subtype=art,position=prenom)	de
materie	NOU-C(number=sg)	materie
sal	VRB(finiteness=fin,tense=pres)	zullen
leggen	VRB(finiteness=inf)	leggen
wale	ADV(type=reg)	wel
$	PC	None
Van	ADP(type=pre)	van
ere	PD(type=indef,subtype=art,position=prenom)	een
tale	NOU-C(number=sg)	taal
in	ADP(type=pre)	in
een	PD(type=indef,subtype=art,position=prenom)	een
ander	PD(type=indef,subtype=oth,position=prenom)	ander
tale	NOU-C(number=sg)	taal
$	PC	None
Die	PD(type=d-p,position=free)	die
sal	VRB(finiteness=fin,tense=pres)	zullen
den	PD(type=d-p,subtype=art,position=prenom)	de
text	NOU-C(number=sg)	tekst
leggen	VRB(finiteness=inf)	leggen
dan	CONJ(type=sub)	dan
$	PC	None
Soe	CONJ(type=sub)	zo
hy	PD(type=pers,position=free)	hij
alre	AA(degree=sup,position=free)	al
gelijcxt	AA(degree=sup,position=free)	gelijk
can	VRB(finiteness=fin,tense=pres)	kunnen
$	PC	None
Dit	PD(type=d-p,position=free)	dit
sal	VRB(finiteness=fin,tense=pres)	zullen
van	ADP(type=pre)	van
rechte	NOU-C(number=sg)	rechte
sijn	VRB(finiteness=inf)	zijn
sine	PD(type=poss,position=prenom)	zijn
sede	NOU-C(number=sg)	zede
$	PC	None
Alsoe	ADV(type=reg)	alzo
alse	CONJ(type=sub)	als
sinte	NOU-P	Sint
Jeronimus	NOU-P	Jeronimus
dede	VRB(finiteness=fin,tense=past)	doen
$	PC	None
Die	PD(type=d-p,position=free)	die
de	PD(type=d-p,subtype=art,position=prenom)	de
bybele	NOU-C(number=sg)	bijbel
ende	CONJ(type=coor)	en
menich	PD(type=indef,subtype=oth,position=prenom)	menig
ander	PD(type=indef,subtype=oth,position=prenom)	ander
werc	NOU-C(number=sg)	werk
$	PC	None
Int	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	in+het
latijn	NOU-C(number=sg)	latijn
dichte	VRB(finiteness=fin,tense=past)	dichten
als	CONJ(type=sub)	als
een	PD(type=indef,subtype=art,position=prenom)	een
clerc	NOU-C(number=sg)	klerk
$	PC	None
Uten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uit+dat
Grixe	NOU-C(number=sg)	griks
dat	CONJ(type=sub)	dat
hy	PD(type=pers,position=free)	hij
conste	VRB(finiteness=fin,tense=past)	kunnen
wale	ADV(type=reg)	wel
$	PC	None
Ende	CONJ(type=coor)	en
oec	ADV(type=reg)	ook
ute	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	uit
Ebreusche	AA(degree=pos,position=prenom)	Ebreus
tale	NOU-C(number=sg)	taal
$	PC	None
Hy	PD(type=pers,position=free)	hij
en	ADV(type=reg)	ne
deder	VRB(finiteness=fin,tense=past)+ADV(type=pron)	doen+er
toe	VRB(finiteness=fin,tense=past)+ADV(type=pron)	toegespreken
noch	ADV(type=reg)	nog
af	VRB(finiteness=fin,tense=past)+ADV(type=pron)	afhebben+hij
$	PC	None
Anders	ADV(type=reg)	anders
dant	CONJ(type=sub)+PD(type=pers,position=free)	dan+het
dauctor	PD(type=d-p,subtype=art,position=prenom)+NOU-C(number=sg)	de+autor
ute	VRB(finiteness=fin,tense=past)	uiten
gaf	VRB(finiteness=fin,tense=past)	geven
$	PC	None
Die	PD(type=d-p,position=free)	die
anders	ADV(type=reg)	anders
doen	VRB(finiteness=fin,tense=pres)	doen
sy	PD(type=pers,position=free)	zij
doen	VRB(finiteness=fin,tense=pres)	doen
quaet	NOU-C(number=sg)	kwaad
$	PC	None
Hoets	ADV(type=reg)+PD(type=pers,position=free)	hoe+zij
hem	PD(type=pers,position=free)	hij
elc	PD(type=indef,position=free)	elk
dats	PD(type=d-p,position=free)+VRB(finiteness=fin,tense=pres)	dat+zijn
mijn	PD(type=poss,position=prenom)	mijn
raet	NOU-C(number=sg)	raad
$	PC	None
Dat	CONJ(type=sub)	dat
ic	PD(type=pers,position=free)	ik
dit	PD(type=d-p,subtype=oth,position=prenom)	dit
werc	NOU-C(number=sg)	werk
ierst	ADV(type=reg)	eerst
ane	VRB(finiteness=fin,tense=past)	eindigen
ginc	VRB(finiteness=fin,tense=past)	gaan
$	PC	None
Dat	PD(type=d-p,position=free)	dat
en	ADV(type=reg)	ne
dedic	VRB(finiteness=fin,tense=past)+PD(type=pers,position=free)	doen+ik
omme	ADP(type=pre)	om
gene	PD(type=indef,subtype=oth,position=prenom)	geen
dinc	NOU-C(number=sg)	ding
$	PC	None
Anders	ADV(type=reg)	anders
dan	CONJ(type=sub)	dan
dat	CONJ(type=sub)	dat
ic	PD(type=pers,position=free)	ik
niet	ADV(type=reg)	niet
en	ADV(type=reg)	ne
woude	VRB(finiteness=fin,tense=past)	willen
$	PC	None
Dat	CONJ(type=sub)	dat
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
edele	AA(degree=pos,position=prenom)	edel
leringe	NOU-C(number=sg)	lering
soude	VRB(finiteness=fin,tense=past)	zullen
$	PC	None
Den	PD(type=d-p,subtype=art,position=prenom)	de
Dietscen	AA(degree=pos,position=prenom)	Diets
lieden	NOU-C(number=pl)	lieden
verholen	VRB(finiteness=pastpart)	verhelen
wesen	VRB(finiteness=inf)	wezen
$	PC	None
Die	PD(type=d-p,position=free)	die
geen	PD(type=indef,subtype=oth,position=prenom)	geen
Walsch	AA(degree=pos,position=prenom)	Waals
en	ADV(type=reg)	ne
connen	VRB(finiteness=fin,tense=pres)	kunnen
lesen	VRB(finiteness=inf)	lezen
$	PC	None
Noch	CONJ(type=coor)	noch
geen	PD(type=indef,subtype=oth,position=prenom)	geen
Walsch	AA(degree=pos,position=prenom)	Waals
en	ADV(type=reg)	ne
verstaen	VRB(finiteness=fin,tense=pres)	verstaan
$	PC	None
Want	CONJ(type=coor)	want
ic	PD(type=pers,position=free)	ik
hope	VRB(finiteness=fin,tense=pres)	hopen
sonder	ADP(type=pre)	zonder
waen	NOU-C(number=sg)	waan
$	PC	None
Dat	CONJ(type=sub)	dat
sy	PD(type=pers,position=free)	zij
selen	VRB(finiteness=fin,tense=pres)	zullen
daer	ADV(type=pron)	daar
omme	ADV(type=pron)	om
bedi	ADV(type=reg)	bedie
$	PC	None
Vriendelike	AA(degree=pos,position=free)	vriendelijk
bidden	VRB(finiteness=inf)	bidden
voir	ADP(type=pre)	voor
my	PD(type=pers,position=free)	ik
$	PC	None
Omme	CONJ(type=sub)	om
dat	CONJ(type=sub)	dat
ic	PD(type=pers,position=free)	ik
die	PD(type=d-p,subtype=art,position=prenom)	die
pine	NOU-C(number=sg)	pijn
bestoet	VRB(finiteness=fin,tense=pres)	bestaan
$	PC	None
Want	CONJ(type=coor)	want
die	PD(type=d-p,subtype=art,position=prenom)	die
leringe	NOU-C(number=sg)	lering
die	PD(type=d-p,position=free)	die
es	VRB(finiteness=fin,tense=pres)	zijn
goet	AA(degree=pos,position=free)	goed
$	PC	None
Beide	PD(type=indef,position=free)	beide
ter	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ter
zielen	NOU-C(number=sg)	ziel
ende	CONJ(type=coor)	en
ten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	ten
live	NOU-C(number=sg)	lijf
$	PC	None
Die	PD(type=d-p,position=free)	die
ic	PD(type=pers,position=free)	ik
hier	ADV(type=pron)	hier
na	ADV(type=pron)	na
bescrive	VRB(finiteness=fin,tense=pres)	beschrijven
$	PC	None
Die	PD(type=d-p,subtype=art,position=prenom)	die
boec	NOU-C(number=sg)	boek
daer	ADV(type=pron)	daar
icse	PD(type=pers,position=free)+PD(type=pers,position=free)	ik+zij
ute	ADV(type=pron)	uit
trac	VRB(finiteness=fin,tense=past)	trekken
$	PC	None
Es	VRB(finiteness=fin,tense=pres)	zijn
geheten	VRB(finiteness=pastpart)	heten
die	PD(type=d-p,subtype=art,position=prenom)	die
wise	NOU-C(number=sg)	wijze
Sidrac	NOU-P	Sidrac
$	PC	None
Na	ADP(type=pre)	na
enen	PD(type=indef,subtype=art,position=prenom)	een
clerc	NOU-C(number=sg)	klerk
wijs	AA(degree=pos,position=free)	wijs
ende	CONJ(type=coor)	en
fijn	AA(degree=pos,position=free)	fijn
$	PC	None
Was	VRB(finiteness=fin,tense=past)	zijn
philosophe	NOU-C(number=sg)	filosoof
ende	CONJ(type=coor)	en
astronomijn	NOU-C(number=sg)	astronomijn
$	PC	None
Die	PD(type=d-p,position=free)	die
God	NOU-P	God
alsoe	ADV(type=reg)	alzo
hadde	VRB(finiteness=fin,tense=past)	hebben
vercoren	VRB(finiteness=pastpart)	verkiezen
$	PC	None
Dat	CONJ(type=sub)	dat
hijt	PD(type=pers,position=free)+PD(type=pers,position=free)	hij+het
al	ADV(type=reg)	al
wiste	VRB(finiteness=fin,tense=past)	wissen
te	ADV(type=reg)	te
voren	ADV(type=reg)	voren
$	PC	None
Dat	PD(type=d-p,position=free)	dat
in	ADP(type=pre)	in
de	PD(type=d-p,subtype=art,position=prenom)	de
werelt	NOU-C(number=sg)	wereld
soude	VRB(finiteness=fin,tense=past)	zullen
gevallen	VRB(finiteness=inf)	vallen
$	PC	None
Ende	CONJ(type=coor)	en
hoe	ADV(type=reg)	hoe
sy	PD(type=pers,position=free)	zij
inden	VRB(finiteness=inf)	innen
soude	VRB(finiteness=fin,tense=past)	zullen
met	ADP(type=pre)	met
allen	PD(type=indef,position=free)	al
$	PC	None
Van	ADP(type=pre)	van
firmamenten	NOU-C(number=pl)	firmament
ende	CONJ(type=coor)	en
van	ADP(type=pre)	van
planeten	NOU-C(number=pl)	planeet
$	PC	None
Hoe	ADV(type=reg)	hoe
der	PD(type=d-p,subtype=art,position=prenom)	de
inglen	NOU-C(number=sg)	engel
coor	AA(degree=pos,position=free)	koor
sijn	VRB(finiteness=inf)	zijn
gheheten	VRB(finiteness=pastpart)	heten
$	PC	None
Dit	PD(type=d-p,position=free)	dit
was	VRB(finiteness=fin,tense=past)	zijn
hem	PD(type=pers,position=free)	hij
algader	ADV(type=reg)	algader
cont	AA(degree=pos,position=free)	kond
$	PC	None
Hout	NOU-C(number=sg)	hout
voor	ADP(type=pre)	voor
eenen	PD(type=indef,subtype=art,position=prenom)	een
vont	NOU-C(number=sg)	vont
$	PC	None
Die	PD(type=d-p,position=free)	die
beter	AA(degree=comp,position=free)	goed
es	VRB(finiteness=fin,tense=pres)	zijn
menichfout	NOU-C(number=sg)	menigvout
$	PC	None
Danne	CONJ(type=sub)	dan
ghesteente	NOU-C(number=sg)	gesteente
zelver	PD(type=d-p,position=free)	zelf
of	CONJ(type=coor)	of
gout	NOU-C(number=sg)	goud
$	PC	None
Want	CONJ(type=coor)	want
vele	ADV(type=reg)	veel
beter	AA(degree=comp,position=free)	goed
es	VRB(finiteness=fin,tense=pres)	zijn
wijshede	NOU-C(number=sg)	wijsheid
$	PC	None
Danne	CONJ(type=sub)	dan
enighe	PD(type=indef,subtype=oth,position=prenom)	enig
erdsche	AA(degree=pos,position=prenom)	aards
rijchede	NOU-C(number=sg)	rijkheid
$	PC	None
Want	CONJ(type=coor)	want
dese	PD(type=d-p,subtype=oth,position=prenom)	deze
bouc	NOU-C(number=sg)	boek
hevet	VRB(finiteness=fin,tense=pres)	hebben
in	ADP(type=pre)	in
$	PC	None
Der	PD(type=d-p,subtype=art,position=prenom)	de
warelt	NOU-C(number=sg)	wereld
fundament	NOU-C(number=sg)	fundament
ende	CONJ(type=coor)	en
beghin	NOU-C(number=sg)	begin
$	PC	None
Ende	CONJ(type=coor)	en
oec	ADV(type=reg)	ook
zal	VRB(finiteness=fin,tense=pres)	zullen
hi	PD(type=pers,position=free)	hij
doen	VRB(finiteness=inf)	doen
verstaen	VRB(finiteness=inf)	verstaan
$	PC	None
Hoet	ADV(type=reg)+PD(type=pers,position=free)	hoe+het
metten	ADP(type=pre)+PD(type=d-p,subtype=art,position=prenom)	met+de
achtersten	NOU-C(number=sg)	achterste
zal	VRB(finiteness=fin,tense=pres)	zullen
gaen	VRB(finiteness=inf)	gaan
$	PC	None
